Categoría|Indicador |Indicador |Tipo de Indicador|Cantidad de veces|NOTA|PR|VALORACION|GRADO|TURNO|NF|42||344|||||||
Académica|Ale-02. Presenta lagunas en conocimientos previos.|02. Presenta lagunas en conocimientos previos.|Alerta/Mejora|14|2|28|A mejorar|NOVENO|TM|0,33333333||||||||||
Académica|Ale-04. Se limita a memorizar sin comprender.|04. Se limita a memorizar sin comprender.|Alerta/Mejora|12|3|30|Bueno|NOVENO|TM|0,28571429|0|24|1||Etiquetas de fila|Suma de Cantidad de veces||||
Académica|Ale-06. Entrega tareas incompletas o descuidadas.|06. Entrega tareas incompletas o descuidadas.|Alerta/Mejora|9|3|33|Bueno|NOVENO|TM|0,21428571|25|28|2||Alerta/Mejora|34||||
Académica|Ale-08. Se bloquea ante desafíos matemáticos.|08. Se bloquea ante desafíos matemáticos.|Alerta/Mejora|15|2|27|A mejorar|NOVENO|TM|0,35714286|29|33|3||Fortaleza/Logro|310||||
Académica|Ale-10. Tiene dificultades de expresión oral/escrita.|10. Tiene dificultades de expresión oral/escrita.|Alerta/Mejora|8|4|34|Muy bueno |NOVENO|TM|0,19047619|34|38|4||Total general|344||||
Académica|Ale-12. Muestra rechazo o desinterés por la lectura.|12. Muestra rechazo o desinterés por la lectura.|Alerta/Mejora|3|5|39|Muy bueno |NOVENO|TM|0,07142857|39|42|5|||||||
Académica|Ale-14. Requiere supervisión constante para avanzar.|14. Requiere supervisión constante para avanzar.|Alerta/Mejora|7|4|35|Muy bueno |NOVENO|TM|0,16666667||||||||||
Académica|Ale-16. Muestra apatía por temas nuevos.|16. Muestra apatía por temas nuevos.|Alerta/Mejora|5|4|37|Muy bueno |NOVENO|TM|0,11904762||||||||||
Conductual|Ale-18. Desafía activamente la autoridad.|18. Desafía activamente la autoridad.|Alerta/Mejora|2|5|40|Muy bueno |NOVENO|TM|0,04761905||||||||||
Conductual|Ale-20. Presenta retardos o inasistencias frecuentes.|20. Presenta retardos o inasistencias frecuentes.|Alerta/Mejora|4|4|38|Muy bueno |NOVENO|TM|0,0952381||||||||||
Conductual|Ale-22. Daña el mobiliario o materiales escolares.|22. Daña el mobiliario o materiales escolares.|Alerta/Mejora|0|5|42|Muy bueno |NOVENO|TM|0||||||||||
Conductual|Ale-24. Interrumpe constantemente el flujo de clase.|24. Interrumpe constantemente el flujo de clase.|Alerta/Mejora|26|1|16|A mejorar|NOVENO|TM|0,61904762||||||||||
Conductual|Ale-26. Emplea lenguaje soez o despectivo.|26. Emplea lenguaje soez o despectivo.|Alerta/Mejora|0|5|42|Muy bueno |NOVENO|TM|0||||||||||
Conductual|Ale-28. Miente o culpa a otros por sus actos.|28. Miente o culpa a otros por sus actos.|Alerta/Mejora|4|4|38|Muy bueno |NOVENO|TM|0,0952381||||||||||
Conductual|Ale-30. Se distrae con dispositivos electrónicos.|30. Se distrae con dispositivos electrónicos.|Alerta/Mejora|10|3|32|Bueno|NOVENO|TM|0,23809524||||||||||
Conductual|Ale-32. Fomenta el desorden o el caos en el grupo.|32. Fomenta el desorden o el caos en el grupo.|Alerta/Mejora|22|1|20|A mejorar|NOVENO|TM|0,52380952||||||||||
Socio-Emocional|Ale-34. Se rinde fácilmente ante la frustración.|34. Se rinde fácilmente ante la frustración.|Alerta/Mejora|9|3|33|Bueno|NOVENO|TM|0,21428571||||||||||
Socio-Emocional|Ale-36. Trabaja de forma aislada o es individualista.|36. Trabaja de forma aislada o es individualista.|Alerta/Mejora|3|5|39|Muy bueno |NOVENO|TM|0,07142857||||||||||
Socio-Emocional|Ale-38. Ignora o se burla de los sentimientos de otros.|38. Ignora o se burla de los sentimientos de otros.|Alerta/Mejora|2|5|40|Muy bueno |NOVENO|TM|0,04761905||||||||||
Socio-Emocional|Ale-40. Ejerce presión negativa o bullying.|40. Ejerce presión negativa o bullying.|Alerta/Mejora|0|5|42|Muy bueno |NOVENO|TM|0||||||||||
Socio-Emocional|Ale-42. Reacciona de forma agresiva o impulsiva.|42. Reacciona de forma agresiva o impulsiva.|Alerta/Mejora|0|5|42|Muy bueno |NOVENO|TM|0||||||||||
Socio-Emocional|Ale-44. Expresa inseguridad constante ("no puedo").|44. Expresa inseguridad constante ("no puedo").|Alerta/Mejora|8|4|34|Muy bueno |NOVENO|TM|0,19047619||||||||||
Actitudinal|Ale-46. Requiere estímulos externos para trabajar.|46. Requiere estímulos externos para trabajar.|Alerta/Mejora|16|2|26|A mejorar|NOVENO|TM|0,38095238||||||||||
Actitudinal|Ale-48. Abandona proyectos a mitad de camino.|48. Abandona proyectos a mitad de camino.|Alerta/Mejora|7|4|35|Muy bueno |NOVENO|TM|0,16666667||||||||||
Actitudinal|Ale-50. Se muestra a la defensiva ante críticas.|50. Se muestra a la defensiva ante críticas.|Alerta/Mejora|4|4|38|Muy bueno |NOVENO|TM|0,0952381||||||||||
Académica|For-01. Domina los conceptos clave del grado.|01. Domina los conceptos clave del grado.|Fortaleza/Logro|16|1|16|A mejorar|NOVENO|TM|0,38095238||||||||||
Académica|For-03. Posee un pensamiento crítico y analítico.|03. Posee un pensamiento crítico y analítico.|Fortaleza/Logro|14|1|14|A mejorar|NOVENO|TM|0,33333333||||||||||
Académica|For-05. Entrega trabajos con alta calidad y orden.|05. Entrega trabajos con alta calidad y orden.|Fortaleza/Logro|21|1|21|A mejorar|NOVENO|TM|0,5||||||||||
Académica|For-07. Resuelve problemas lógicos con fluidez.|07. Resuelve problemas lógicos con fluidez.|Fortaleza/Logro|15|1|15|A mejorar|NOVENO|TM|0,35714286||||||||||
Académica|For-09. Utiliza vocabulario técnico preciso.|09. Utiliza vocabulario técnico preciso.|Fortaleza/Logro|10|1|10|A mejorar|NOVENO|TM|0,23809524||||||||||
Académica|For-11. Posee excelentes hábitos de lectura.|11. Posee excelentes hábitos de lectura.|Fortaleza/Logro|6|1|6|A mejorar|NOVENO|TM|0,14285714||||||||||
Académica|For-13. Es autónomo en la realización de tareas.|13. Es autónomo en la realización de tareas.|Fortaleza/Logro|21|1|21|A mejorar|NOVENO|TM|0,5||||||||||
Académica|For-15. Investiga más allá de lo solicitado.|15. Investiga más allá de lo solicitado.|Fortaleza/Logro|9|1|9|A mejorar|NOVENO|TM|0,21428571||||||||||
