Categoría|Indicador |Indicador |Tipo de Indicador|Cantidad de veces|NOTA|PR|VALORACION|GRADO|TURNO|NF|14||344|6,88||||||
Académica|Ale-02. Presenta lagunas en conocimientos previos.|02. Presenta lagunas en conocimientos previos.|Alerta/Mejora|12|1|2|A mejorar|SEPTIMO|TT|0,00%||||||||||
Académica|Ale-04. Se limita a memorizar sin comprender.|04. Se limita a memorizar sin comprender.|Alerta/Mejora|8|1|6|A mejorar|SEPTIMO|TT|0,00%|1|8|1||Promedio de Cantidad de veces|Etiquetas de columna||||
Académica|Ale-06. Entrega tareas incompletas o descuidadas.|06. Entrega tareas incompletas o descuidadas.|Alerta/Mejora|3|3|11|Bueno|SEPTIMO|TT|0,00%||9|2||Etiquetas de fila|Alerta/Mejora|Fortaleza/Logro|Total general||
Académica|Ale-08. Se bloquea ante desafíos matemáticos.|08. Se bloquea ante desafíos matemáticos.|Alerta/Mejora|7|1|7|A mejorar|SEPTIMO|TT|0,00%|10|11|3||Académica|2,375|12,375|7,375||
Académica|Ale-10. Tiene dificultades de expresión oral/escrita.|10. Tiene dificultades de expresión oral/escrita.|Alerta/Mejora|2|4|12|Muy bueno |SEPTIMO|TT|0,00%|12|13|4||Actitudinal|0,666666667|11,33333333|6||
Académica|Ale-12. Muestra rechazo o desinterés por la lectura.|12. Muestra rechazo o desinterés por la lectura.|Alerta/Mejora|3|3|11|Bueno|SEPTIMO|TT|0,00%||14|5||Conductual|0,5|13,125|6,8125||
Académica|Ale-14. Requiere supervisión constante para avanzar.|14. Requiere supervisión constante para avanzar.|Alerta/Mejora|3|3|11|Bueno|SEPTIMO|TT|0,00%|||||Socio-Emocional|1,5|12|6,75||
Académica|Ale-16. Muestra apatía por temas nuevos.|16. Muestra apatía por temas nuevos.|Alerta/Mejora|0|4|14|Muy bueno |SEPTIMO|TT|0,00%|||||Total general|1,36|12,4|6,88||
Conductual|Ale-18. Desafía activamente la autoridad.|18. Desafía activamente la autoridad.|Alerta/Mejora|0|4|14|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Conductual|Ale-20. Presenta retardos o inasistencias frecuentes.|20. Presenta retardos o inasistencias frecuentes.|Alerta/Mejora|2|4|12|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Conductual|Ale-22. Daña el mobiliario o materiales escolares.|22. Daña el mobiliario o materiales escolares.|Alerta/Mejora|0|4|14|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Conductual|Ale-24. Interrumpe constantemente el flujo de clase.|24. Interrumpe constantemente el flujo de clase.|Alerta/Mejora|2|4|12|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Conductual|Ale-26. Emplea lenguaje soez o despectivo.|26. Emplea lenguaje soez o despectivo.|Alerta/Mejora|0|4|14|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Conductual|Ale-28. Miente o culpa a otros por sus actos.|28. Miente o culpa a otros por sus actos.|Alerta/Mejora|0|4|14|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Conductual|Ale-30. Se distrae con dispositivos electrónicos.|30. Se distrae con dispositivos electrónicos.|Alerta/Mejora|0|4|14|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Conductual|Ale-32. Fomenta el desorden o el caos en el grupo.|32. Fomenta el desorden o el caos en el grupo.|Alerta/Mejora|0|4|14|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Socio-Emocional|Ale-34. Se rinde fácilmente ante la frustración.|34. Se rinde fácilmente ante la frustración.|Alerta/Mejora|2|4|12|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Socio-Emocional|Ale-36. Trabaja de forma aislada o es individualista.|36. Trabaja de forma aislada o es individualista.|Alerta/Mejora|1|4|13|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Socio-Emocional|Ale-38. Ignora o se burla de los sentimientos de otros.|38. Ignora o se burla de los sentimientos de otros.|Alerta/Mejora|3|3|11|Bueno|SEPTIMO|TT|0,00%||||||||||
Socio-Emocional|Ale-40. Ejerce presión negativa o bullying.|40. Ejerce presión negativa o bullying.|Alerta/Mejora|1|4|13|Muy bueno |SEPTIMO|TT|0,00%||||||||||
